          15          28  -31.9480000      -71.6309967      0.752956510     l, k, lat, lon, s
          17          34  -31.9069996      -71.7559967      0.747343242     l, k, lat, lon, s
          23          36  -31.7970009      -71.7919998      0.812903941     l, k, lat, lon, s
          30          10  -31.6919994      -71.2369995      0.873333156     l, k, lat, lon, s
          30          34  -31.6730003      -71.7429962      0.894440830     l, k, lat, lon, s
          31          14  -31.6709995      -71.3209991      0.874323249     l, k, lat, lon, s
          45          31  -31.4050007      -71.6650009      0.715372086     l, k, lat, lon, s
          46          44  -31.3759995      -71.9369965      0.767065704     l, k, lat, lon, s
          48          35  -31.3479996      -71.7460022      0.867290258     l, k, lat, lon, s
          51          21  -31.3050003      -71.4489975      0.756964266     l, k, lat, lon, s
          65           4  -31.0660000      -71.0800018      0.936688423     l, k, lat, lon, s
          77          15  -30.8419991      -71.3000031      0.835836649     l, k, lat, lon, s
          80          14  -30.7880001      -71.2760010       1.00000000     l, k, lat, lon, s
          93          18  -30.5510006      -71.3479996      0.924971223     l, k, lat, lon, s
          98          31  -30.4500008      -71.6139984      0.703455985     l, k, lat, lon, s
          99          49  -30.4169998      -71.9869995      0.800854266     l, k, lat, lon, s
         106          12  -30.3209991      -71.2119980      0.992891371     l, k, lat, lon, s
         117           6  -30.1270008      -71.0780029      0.899567187     l, k, lat, lon, s
         120          42  -30.0440006      -71.8209991      0.906083584     l, k, lat, lon, s
         121          12  -30.0510006      -71.1979980      0.849162519     l, k, lat, lon, s
