           7           7  -32.1090012      -71.1940002      0.666649878     l, k, lat, lon, s
          10          30  -32.0369987      -71.6780014      0.786135495     l, k, lat, lon, s
          12          49  -31.9839993      -72.0780029      0.872440696     l, k, lat, lon, s
          36          16  -31.5799999      -71.3580017      0.878552258     l, k, lat, lon, s
          37          12  -31.5650005      -71.2730026      0.759880602     l, k, lat, lon, s
          38          26  -31.5359993      -71.5670013      0.643821597     l, k, lat, lon, s
          38          27  -31.5349998      -71.5879974      0.550948203     l, k, lat, lon, s
          48           6  -31.3710003      -71.1370010      0.806083143     l, k, lat, lon, s
          54          59  -31.2180004      -72.2429962      0.747678697     l, k, lat, lon, s
          62          34  -31.0960007      -71.7109985      0.779654026     l, k, lat, lon, s
          64          58  -31.0389996      -72.2119980      0.828444958     l, k, lat, lon, s
          72          53  -30.8999996      -72.0989990      0.805737138     l, k, lat, lon, s
          83          70  -30.6860008      -72.4410019      0.751951635     l, k, lat, lon, s
          84          55  -30.6819992      -72.1279984       1.00000000     l, k, lat, lon, s
          88          38  -30.6250000      -71.7689972      0.822194040     l, k, lat, lon, s
          89          34  -30.6100006      -71.6849976      0.847948432     l, k, lat, lon, s
          91          45  -30.5639992      -71.9120026      0.781240225     l, k, lat, lon, s
          92          34  -30.5559998      -71.6819992      0.896447539     l, k, lat, lon, s
          95          24  -30.5100002      -71.4710007      0.586593091     l, k, lat, lon, s
         118          12  -30.1049995      -71.2009964      0.860401750     l, k, lat, lon, s
