          18           2  -31.9150009      -71.0790024      0.441469043     l, k, lat, lon, s
          28          25  -31.7169991      -71.5550003      0.602531552     l, k, lat, lon, s
          31          19  -31.6669998      -71.4260025      0.546814620     l, k, lat, lon, s
          31          27  -31.6609993      -71.5950012       1.00000000     l, k, lat, lon, s
          32          27  -31.6429996      -71.5940018      0.989916861     l, k, lat, lon, s
          38          11  -31.5470009      -71.2509995      0.608499527     l, k, lat, lon, s
          38          61  -31.5049992      -72.3030014      0.644863605     l, k, lat, lon, s
          53          39  -31.2539997      -71.8249969      0.526174247     l, k, lat, lon, s
          54          24  -31.2490005      -71.5100021      0.379961520     l, k, lat, lon, s
          56           5  -31.2280006      -71.1090012      0.421063513     l, k, lat, lon, s
          59           2  -31.1760006      -71.0439987      0.437847823     l, k, lat, lon, s
          68          20  -31.0000000      -71.4130020      0.502560496     l, k, lat, lon, s
          75          17  -30.8759995      -71.3440018      0.449106812     l, k, lat, lon, s
          84          35  -30.6989994      -71.7109985      0.556619525     l, k, lat, lon, s
          85          26  -30.6889992      -71.5220032      0.492754817     l, k, lat, lon, s
         103          43  -30.3500004      -71.8580017      0.537452757     l, k, lat, lon, s
         109          70  -30.2169991      -72.4130020      0.504311502     l, k, lat, lon, s
         114           2  -30.1840000      -70.9970016      0.509853661     l, k, lat, lon, s
         115          55  -30.1229992      -72.0950012      0.539601266     l, k, lat, lon, s
         120          33  -30.0520000      -71.6340027      0.667680264     l, k, lat, lon, s
