           2          62  -32.1520004      -72.3639984      0.571251273     l, k, lat, lon, s
           4          24  -32.1500015      -71.5569992      0.585069120     l, k, lat, lon, s
          19          57  -31.8509998      -72.2389984      0.629003108     l, k, lat, lon, s
          25          15  -31.7789993      -71.3470001      0.775631845     l, k, lat, lon, s
          36          21  -31.5760002      -71.4629974      0.760908425     l, k, lat, lon, s
          54          23  -31.2500000      -71.4889984      0.718290985     l, k, lat, lon, s
          55          56  -31.2029991      -72.1790009      0.774330616     l, k, lat, lon, s
          56          26  -31.2110004      -71.5500031      0.709743023     l, k, lat, lon, s
          65           3  -31.0669994      -71.0599976      0.768948615     l, k, lat, lon, s
          74          34  -30.8799992      -71.6999969      0.824681222     l, k, lat, lon, s
          77          31  -30.8290005      -71.6340027      0.724033415     l, k, lat, lon, s
          88          39  -30.6240005      -71.7900009      0.633660436     l, k, lat, lon, s
          88          45  -30.6180000      -71.9150009      0.775497735     l, k, lat, lon, s
          94          30  -30.5230007      -71.5970001      0.668895662     l, k, lat, lon, s
         103          30  -30.3610001      -71.5879974      0.751287997     l, k, lat, lon, s
         105          65  -30.2940006      -72.3130035      0.807081521     l, k, lat, lon, s
         115          16  -30.1560001      -71.2870026      0.777508497     l, k, lat, lon, s
         117          44  -30.0970001      -71.8649979      0.692740858     l, k, lat, lon, s
         118           4  -30.1110001      -71.0350037       1.00000000     l, k, lat, lon, s
         119          36  -30.0680008      -71.6979980      0.953673124     l, k, lat, lon, s
