           4          66  -32.1119995      -72.4459991      0.935523331     l, k, lat, lon, s
          15           8  -31.9640007      -71.2080002      0.707584381     l, k, lat, lon, s
          20          14  -31.8700008      -71.3310013      0.834873796     l, k, lat, lon, s
          20          36  -31.8509998      -71.7949982      0.817755997     l, k, lat, lon, s
          24          68  -31.7500000      -72.4660034      0.917748392     l, k, lat, lon, s
          30          19  -31.6849995      -71.4270020      0.916445792     l, k, lat, lon, s
          33          12  -31.6369991      -71.2770004      0.879328609     l, k, lat, lon, s
          35          34  -31.5830002      -71.7379990      0.914556503     l, k, lat, lon, s
          38          54  -31.5109997      -72.1559982      0.807033181     l, k, lat, lon, s
          41          41  -31.4689999      -71.8789978      0.680477977     l, k, lat, lon, s
          66           3  -31.0489998      -71.0589981      0.882648706     l, k, lat, lon, s
          67           8  -31.0270004      -71.1620026      0.697744846     l, k, lat, lon, s
          70          64  -30.9249992      -72.3310013       1.00000000     l, k, lat, lon, s
          77          49  -30.8129997      -72.0100021      0.848409891     l, k, lat, lon, s
          81          22  -30.7639999      -71.4420013      0.977449656     l, k, lat, lon, s
          98           5  -30.4710007      -71.0729980      0.879972577     l, k, lat, lon, s
         100          59  -30.3899994      -72.1940002      0.837192357     l, k, lat, lon, s
         105          26  -30.3279991      -71.5029984      0.964192152     l, k, lat, lon, s
         109          43  -30.2420006      -71.8519974      0.897017419     l, k, lat, lon, s
         114           2  -30.1840000      -70.9970016      0.905012846     l, k, lat, lon, s
