           7           7  -32.1090012      -71.1940002      0.769125044     l, k, lat, lon, s
          10          30  -32.0369987      -71.6780014      0.645037472     l, k, lat, lon, s
          12          49  -31.9839993      -72.0780029      0.764435410     l, k, lat, lon, s
          36          16  -31.5799999      -71.3580017      0.634293318     l, k, lat, lon, s
          37          12  -31.5650005      -71.2730026      0.648979962     l, k, lat, lon, s
          38          26  -31.5359993      -71.5670013      0.669605970     l, k, lat, lon, s
          38          27  -31.5349998      -71.5879974      0.643663287     l, k, lat, lon, s
          48           6  -31.3710003      -71.1370010      0.857099414     l, k, lat, lon, s
          54          59  -31.2180004      -72.2429962      0.867672205     l, k, lat, lon, s
          62          34  -31.0960007      -71.7109985      0.814863324     l, k, lat, lon, s
          64          58  -31.0389996      -72.2119980      0.916636527     l, k, lat, lon, s
          72          53  -30.8999996      -72.0989990      0.829311550     l, k, lat, lon, s
          83          70  -30.6860008      -72.4410019      0.726852059     l, k, lat, lon, s
          84          55  -30.6819992      -72.1279984      0.878143489     l, k, lat, lon, s
          88          38  -30.6250000      -71.7689972      0.976381898     l, k, lat, lon, s
          89          34  -30.6100006      -71.6849976      0.952282369     l, k, lat, lon, s
          91          45  -30.5639992      -71.9120026      0.795778155     l, k, lat, lon, s
          92          34  -30.5559998      -71.6819992      0.950733602     l, k, lat, lon, s
          95          24  -30.5100002      -71.4710007      0.667110741     l, k, lat, lon, s
         118          12  -30.1049995      -71.2009964      0.773714244     l, k, lat, lon, s
