           7          14  -32.1040001      -71.3430023       1.00000000     l, k, lat, lon, s
          27          31  -31.7299995      -71.6829987      0.885358810     l, k, lat, lon, s
          30          26  -31.6800003      -71.5739975      0.825645864     l, k, lat, lon, s
          38          26  -31.5359993      -71.5670013      0.884533465     l, k, lat, lon, s
          39           3  -31.5359993      -71.0820007      0.712193012     l, k, lat, lon, s
          47           3  -31.3910007      -71.0749969      0.769144535     l, k, lat, lon, s
          50          28  -31.3180008      -71.5970001      0.814978302     l, k, lat, lon, s
          52           1  -31.3029995      -71.0289993      0.921168029     l, k, lat, lon, s
          52          22  -31.2870007      -71.4690018      0.977843821     l, k, lat, lon, s
          53          19  -31.2709999      -71.4059982      0.881585479     l, k, lat, lon, s
          68          23  -30.9969997      -71.4749985      0.783214152     l, k, lat, lon, s
          89          25  -30.6170006      -71.4980011      0.995965719     l, k, lat, lon, s
          89          53  -30.5930004      -72.0810013      0.822988689     l, k, lat, lon, s
          91          20  -30.5849991      -71.3919983      0.856508672     l, k, lat, lon, s
          97          52  -30.4500008      -72.0520020      0.964984715     l, k, lat, lon, s
          99          31  -30.4319992      -71.6129990      0.940676212     l, k, lat, lon, s
         102          32  -30.3770008      -71.6309967      0.972039342     l, k, lat, lon, s
         105          64  -30.2950001      -72.2919998      0.821040511     l, k, lat, lon, s
         106          56  -30.2840004      -72.1250000      0.689016640     l, k, lat, lon, s
         107          25  -30.2929993      -71.4810028      0.717038929     l, k, lat, lon, s
