           4           5  -32.1640015      -71.1760025      0.737490833     l, k, lat, lon, s
           8          10  -32.0880013      -71.2740021      0.794926286     l, k, lat, lon, s
           8          63  -32.0439987      -72.3570023      0.620629668     l, k, lat, lon, s
          22          13  -31.8339996      -71.3229980       1.00000000     l, k, lat, lon, s
          22          33  -31.8180008      -71.7310028      0.670436323     l, k, lat, lon, s
          28          10  -31.7280006      -71.2559967      0.874814749     l, k, lat, lon, s
          37          26  -31.5529995      -71.5729980      0.678974628     l, k, lat, lon, s
          61          14  -31.1299992      -71.3079987      0.728785634     l, k, lat, lon, s
          71          24  -30.9419994      -71.5009995      0.729610801     l, k, lat, lon, s
          79          13  -30.8059998      -71.2710037      0.735965073     l, k, lat, lon, s
          84           6  -30.7220001      -71.1259995      0.682918727     l, k, lat, lon, s
          86          10  -30.6830006      -71.2050018      0.703272283     l, k, lat, lon, s
          92          24  -30.5639992      -71.4810028      0.770182848     l, k, lat, lon, s
         101          12  -30.4109993      -71.2320023      0.701355577     l, k, lat, lon, s
         102          62  -30.3519993      -72.2340012      0.732245624     l, k, lat, lon, s
         106          42  -30.2970009      -71.8290024      0.726931870     l, k, lat, lon, s
         111          31  -30.2159996      -71.6039963      0.625821114     l, k, lat, lon, s
         113          25  -30.1849995      -71.4820023      0.702786744     l, k, lat, lon, s
         116          15  -30.1380005      -71.2779999      0.851240814     l, k, lat, lon, s
         120           4  -30.0739994      -71.0550003      0.800795197     l, k, lat, lon, s
