           4           5  -32.1640015      -71.1760025      0.773234665     l, k, lat, lon, s
           7           7  -32.1080017      -71.2139969      0.953917027     l, k, lat, lon, s
           8          10  -32.0880013      -71.2740021      0.815953195     l, k, lat, lon, s
           8          63  -32.0439987      -72.3570023      0.442968100     l, k, lat, lon, s
          12          49  -31.9850006      -72.0670013      0.635943711     l, k, lat, lon, s
          22          33  -31.8180008      -71.7310028      0.475676805     l, k, lat, lon, s
          37          26  -31.5529995      -71.5729980      0.993187606     l, k, lat, lon, s
          38          26  -31.5349998      -71.5719986      0.941071093     l, k, lat, lon, s
          38          27  -31.5349998      -71.5930023      0.930454254     l, k, lat, lon, s
          48           6  -31.3700008      -71.1569977      0.610423684     l, k, lat, lon, s
          61          14  -31.1299992      -71.3079987      0.711860955     l, k, lat, lon, s
          83          70  -30.6870003      -72.4160004      0.332049221     l, k, lat, lon, s
          84           6  -30.7220001      -71.1259995      0.588018000     l, k, lat, lon, s
          84          55  -30.6819992      -72.1129990      0.393405974     l, k, lat, lon, s
          89          34  -30.6100006      -71.6849976      0.442876101     l, k, lat, lon, s
          91          45  -30.5650005      -71.9039993      0.499904364     l, k, lat, lon, s
          92          24  -30.5639992      -71.4810028      0.508311570     l, k, lat, lon, s
          95          24  -30.5100002      -71.4779968      0.453879863     l, k, lat, lon, s
         111          31  -30.2159996      -71.6039963      0.445906311     l, k, lat, lon, s
         113          25  -30.1849995      -71.4820023      0.479106009     l, k, lat, lon, s
