          13          46  -31.9689999      -72.0049973      0.795221567     l, k, lat, lon, s
          26           3  -31.7689991      -71.1149979      0.919231534     l, k, lat, lon, s
          29          12  -31.7080002      -71.2959976      0.905576169     l, k, lat, lon, s
          40          30  -31.4960003      -71.6520004      0.774082839     l, k, lat, lon, s
          45          58  -31.3820000      -72.2149963      0.472853124     l, k, lat, lon, s
          46          37  -31.3820000      -71.7880020      0.621242940     l, k, lat, lon, s
          52          47  -31.2660007      -71.9850006      0.731765687     l, k, lat, lon, s
          55          19  -31.2339993      -71.4140015      0.935522020     l, k, lat, lon, s
          55          51  -31.2080002      -72.0619965      0.573512793     l, k, lat, lon, s
          67          10  -31.0249996      -71.2210007      0.824271441     l, k, lat, lon, s
          67          42  -31.0000000      -71.8679962      0.834304452     l, k, lat, lon, s
          76          27  -30.8500004      -71.5559998      0.910154521     l, k, lat, lon, s
          81          13  -30.7700005      -71.2699966      0.905761242     l, k, lat, lon, s
          83          29  -30.7220001      -71.5899963      0.864243686     l, k, lat, lon, s
          95          66  -30.4740009      -72.3219986      0.530060291     l, k, lat, lon, s
          96          45  -30.4750004      -71.8990021      0.532136679     l, k, lat, lon, s
         100          48  -30.3999996      -71.9550018      0.519885600     l, k, lat, lon, s
         101           3  -30.4169998      -71.0510025      0.885680079     l, k, lat, lon, s
         105          66  -30.2940006      -72.3109970      0.477994949     l, k, lat, lon, s
         112          17  -30.2089996      -71.3219986       1.00000000     l, k, lat, lon, s
