           4           6  -32.1629982      -71.1959991       1.00000000     l, k, lat, lon, s
          15           2  -31.9680004      -71.1050034      0.718407214     l, k, lat, lon, s
          24          36  -31.7789993      -71.7900009      0.578943014     l, k, lat, lon, s
          24          49  -31.7679996      -72.0550003      0.559414327     l, k, lat, lon, s
          30           8  -31.6930008      -71.2139969      0.896055758     l, k, lat, lon, s
          30          51  -31.6590004      -72.0889969      0.493593931     l, k, lat, lon, s
          35          66  -31.5550003      -72.3880005      0.595223665     l, k, lat, lon, s
          47          11  -31.3850002      -71.2600021      0.827533364     l, k, lat, lon, s
          51          63  -31.2700005      -72.3099976      0.811855733     l, k, lat, lon, s
          59           4  -31.1739998      -71.1070023      0.810145855     l, k, lat, lon, s
          67          13  -31.0230007      -71.2819977      0.847269654     l, k, lat, lon, s
          78          62  -30.7840004      -72.2600021      0.472631365     l, k, lat, lon, s
          79          31  -30.7929993      -71.6340027      0.698673248     l, k, lat, lon, s
          80          34  -30.7719994      -71.6940002      0.435587049     l, k, lat, lon, s
          89          50  -30.5970001      -72.0070038      0.520348728     l, k, lat, lon, s
          99          66  -30.4020004      -72.3180008      0.373938769     l, k, lat, lon, s
         115          48  -30.1299992      -71.9400024      0.451321781     l, k, lat, lon, s
         117          40  -30.1000004      -71.7779999      0.610318363     l, k, lat, lon, s
         118          51  -30.0730000      -71.9970016      0.441816419     l, k, lat, lon, s
         120          37  -30.0489998      -71.7149963      0.664490044     l, k, lat, lon, s
