           1          54  -32.1780014      -72.1809998      0.644284904     l, k, lat, lon, s
           6          17  -32.1189995      -71.4189987      0.792495906     l, k, lat, lon, s
           8          32  -32.0709991      -71.7239990      0.703280151     l, k, lat, lon, s
          17          48  -31.8950005      -72.0419998      0.557388663     l, k, lat, lon, s
          18          15  -31.9039993      -71.3669968      0.889607012     l, k, lat, lon, s
          18          45  -31.8799992      -71.9789963      0.541567624     l, k, lat, lon, s
          20          71  -31.8209991      -72.5070038      0.614096761     l, k, lat, lon, s
          24          50  -31.7679996      -72.0749969      0.447851419     l, k, lat, lon, s
          42          14  -31.4729996      -71.3249969      0.808535516     l, k, lat, lon, s
          47          16  -31.3810005      -71.3610001      0.895156801     l, k, lat, lon, s
          49          45  -31.3209991      -71.9469986      0.607002556     l, k, lat, lon, s
          51          48  -31.2830009      -72.0059967      0.546359003     l, k, lat, lon, s
          69          39  -30.9659996      -71.8050003      0.806779861     l, k, lat, lon, s
          70          23  -30.9610004      -71.4810028      0.666598797     l, k, lat, lon, s
          84          27  -30.7059994      -71.5490036      0.809270859     l, k, lat, lon, s
          86          49  -30.6509991      -71.9899979      0.558930397     l, k, lat, lon, s
          97          26  -30.4720001      -71.5169983      0.788745165     l, k, lat, lon, s
         106           8  -30.3239994      -71.1470032      0.781585276     l, k, lat, lon, s
         106          56  -30.2849998      -72.1100006      0.421917200     l, k, lat, lon, s
         115          20  -30.1520004      -71.3789978       1.00000000     l, k, lat, lon, s
