           9          17  -32.0649986      -71.4169998       1.00000000     l, k, lat, lon, s
          13          43  -31.9720001      -71.9440002      0.733236253     l, k, lat, lon, s
          16          27  -31.9309998      -71.6139984      0.850479722     l, k, lat, lon, s
          17          60  -31.8850002      -72.2860031      0.667184770     l, k, lat, lon, s
          29          68  -31.6609993      -72.4359970      0.388021588     l, k, lat, lon, s
          41          29  -31.4790001      -71.6309967      0.791042030     l, k, lat, lon, s
          50          12  -31.3299999      -71.2770004      0.965591013     l, k, lat, lon, s
          52          65  -31.2500000      -72.3489990      0.730009079     l, k, lat, lon, s
          55          64  -31.1970005      -72.3259964      0.729543388     l, k, lat, lon, s
          60          55  -31.1149998      -72.1380005      0.481254399     l, k, lat, lon, s
          66          47  -31.0130005      -71.9700012      0.623737812     l, k, lat, lon, s
          72          22  -30.9260006      -71.4589996      0.592919469     l, k, lat, lon, s
          83          16  -30.7320004      -71.3280029      0.815354645     l, k, lat, lon, s
          85          56  -30.6630001      -72.1320038      0.618340015     l, k, lat, lon, s
          90          29  -30.5960007      -71.5830002      0.857805431     l, k, lat, lon, s
          93          68  -30.5079994      -72.3649979      0.407884449     l, k, lat, lon, s
         101          48  -30.3820000      -71.9540024      0.643947124     l, k, lat, lon, s
         113          69  -30.1469994      -72.3629990      0.423867226     l, k, lat, lon, s
         114          33  -30.1599998      -71.6409988      0.822175801     l, k, lat, lon, s
         121          56  -30.0149994      -72.0940018      0.661515296     l, k, lat, lon, s
