          16           3  -31.9489994      -71.1240005      0.835930586     l, k, lat, lon, s
          16          58  -31.9050007      -72.2470016      0.931903839     l, k, lat, lon, s
          20          34  -31.8530006      -71.7529984      0.816700459     l, k, lat, lon, s
          29          11  -31.7089996      -71.2760010      0.813391030     l, k, lat, lon, s
          45          47  -31.3920002      -71.9919968      0.913922608     l, k, lat, lon, s
          45          70  -31.3710003      -72.4580002      0.981510103     l, k, lat, lon, s
          59          66  -31.1229992      -72.3619995      0.668153882     l, k, lat, lon, s
          65          14  -31.0580006      -71.3040009      0.852930069     l, k, lat, lon, s
          78          41  -30.8020000      -71.8369980      0.877466500     l, k, lat, lon, s
          81          17  -30.7670002      -71.3499985      0.903489888     l, k, lat, lon, s
          85          29  -30.6860008      -71.5879974      0.755902171     l, k, lat, lon, s
          89          19  -30.6219997      -71.3830032      0.913300216     l, k, lat, lon, s
          91          34  -30.5739994      -71.6829987      0.781095207     l, k, lat, lon, s
         102          68  -30.3460007      -72.3550034      0.970706582     l, k, lat, lon, s
         107          25  -30.2929993      -71.4869995      0.929954946     l, k, lat, lon, s
         113          30  -30.1809998      -71.5820007      0.759360194     l, k, lat, lon, s
         116           3  -30.1469994      -71.0380020      0.790473223     l, k, lat, lon, s
         116          53  -30.1070004      -72.0390015      0.952361166     l, k, lat, lon, s
         119          28  -30.0739994      -71.5360031      0.786250234     l, k, lat, lon, s
         120          59  -30.0300007      -72.1549988      0.869835198     l, k, lat, lon, s
