          27           2  -31.7520008      -71.0940018      0.816565514     l, k, lat, lon, s
          32          27  -31.6429996      -71.5989990      0.816058993     l, k, lat, lon, s
          44          55  -31.4029999      -72.1549988      0.857120216     l, k, lat, lon, s
          50          47  -31.3020000      -71.9869995      0.853750467     l, k, lat, lon, s
          56          69  -31.1739998      -72.4260025      0.994574904     l, k, lat, lon, s
          57           6  -31.2080002      -71.1490021      0.801076949     l, k, lat, lon, s
          58          31  -31.1709995      -71.6549988      0.900989890     l, k, lat, lon, s
          64          42  -31.0540009      -71.8710022      0.830933273     l, k, lat, lon, s
          81          49  -30.7420006      -71.9950027      0.870368898     l, k, lat, lon, s
          84          63  -30.6749992      -72.2740021      0.585334301     l, k, lat, lon, s
          85          67  -30.6529999      -72.3529968      0.713312030     l, k, lat, lon, s
          89           4  -30.6329994      -71.0810013      0.919528186     l, k, lat, lon, s
          89          58  -30.5890007      -72.1679993      0.643528938     l, k, lat, lon, s
          91          39  -30.5699997      -71.7839966      0.915645838     l, k, lat, lon, s
          92          37  -30.5529995      -71.7419968      0.954328954     l, k, lat, lon, s
          98          64  -30.4220009      -72.2789993      0.722445786     l, k, lat, lon, s
         102          13  -30.3920002      -71.2509995      0.827688992     l, k, lat, lon, s
         104          23  -30.3479996      -71.4499969      0.893194556     l, k, lat, lon, s
         110          46  -30.2220001      -71.9049988      0.715898275     l, k, lat, lon, s
         114          51  -30.1450005      -72.0009995      0.950102806     l, k, lat, lon, s
