           1          34  -32.1959991      -71.7720032      0.728825390     l, k, lat, lon, s
          14          41  -31.9549999      -71.9020004      0.579817235     l, k, lat, lon, s
          14          49  -31.9489994      -72.0650024      0.816427290     l, k, lat, lon, s
          17          59  -31.8859997      -72.2659988      0.821642041     l, k, lat, lon, s
          26          40  -31.7399998      -71.8690033      0.893267572     l, k, lat, lon, s
          28          17  -31.7229996      -71.3990021       1.00000000     l, k, lat, lon, s
          31          19  -31.6669998      -71.4369965      0.901041925     l, k, lat, lon, s
          34          32  -31.6030006      -71.6979980      0.749300063     l, k, lat, lon, s
          41          32  -31.4759998      -71.6910019      0.763306320     l, k, lat, lon, s
          60          23  -31.1410007      -71.4909973      0.651820660     l, k, lat, lon, s
          75          46  -30.8519993      -71.9410019      0.697142065     l, k, lat, lon, s
          84          23  -30.7089996      -71.4680023      0.678699017     l, k, lat, lon, s
          85          34  -30.6819992      -71.6890030      0.869582415     l, k, lat, lon, s
          94           7  -30.5410004      -71.1370010      0.737746239     l, k, lat, lon, s
         100          15  -30.4260006      -71.2929993      0.775595725     l, k, lat, lon, s
         109           3  -30.2730007      -71.0439987      0.781733513     l, k, lat, lon, s
         110          69  -30.2010002      -72.3659973      0.848173201     l, k, lat, lon, s
         117          27  -30.1110001      -71.5179977      0.854845822     l, k, lat, lon, s
         118          10  -30.1060009      -71.1770020      0.788924694     l, k, lat, lon, s
         118          53  -30.0709991      -72.0370026      0.708804548     l, k, lat, lon, s
