           2          16  -32.1920013      -71.4029999       1.00000000     l, k, lat, lon, s
           4          67  -32.1119995      -72.4440002      0.643271744     l, k, lat, lon, s
           7          52  -32.0719986      -72.1340027      0.710526764     l, k, lat, lon, s
          10          67  -32.0040016      -72.4369965      0.495488971     l, k, lat, lon, s
          15          44  -31.9349995      -71.9619980      0.772050381     l, k, lat, lon, s
          17          62  -31.8829994      -72.3270035      0.647699475     l, k, lat, lon, s
          26          63  -31.7199993      -72.3369980      0.673449636     l, k, lat, lon, s
          31           6  -31.6770000      -71.1719971      0.946274042     l, k, lat, lon, s
          49          41  -31.3250008      -71.8659973      0.798244119     l, k, lat, lon, s
          51          35  -31.2940006      -71.7419968      0.691549480     l, k, lat, lon, s
          54          19  -31.2520008      -71.4150009      0.889007211     l, k, lat, lon, s
          69          38  -30.9669991      -71.7850037      0.787837446     l, k, lat, lon, s
          71          55  -30.9160004      -72.1259995      0.700797975     l, k, lat, lon, s
          82          70  -30.7049999      -72.4169998      0.580726266     l, k, lat, lon, s
          84          70  -30.6690006      -72.4150009      0.585514486     l, k, lat, lon, s
          89          61  -30.5869999      -72.2279968      0.551558614     l, k, lat, lon, s
         101          24  -30.4020004      -71.4729996      0.912119329     l, k, lat, lon, s
         102           3  -30.3990002      -71.0500031      0.983758628     l, k, lat, lon, s
         102          18  -30.3880005      -71.3509979      0.938735604     l, k, lat, lon, s
         118          31  -30.0900002      -71.5970001      0.975839734     l, k, lat, lon, s
