          27           2  -31.7520008      -71.0940018       1.00000000     l, k, lat, lon, s
          32          27  -31.6429996      -71.5989990      0.794151008     l, k, lat, lon, s
          37          21  -31.5569992      -71.4720001      0.853813648     l, k, lat, lon, s
          42          18  -31.4699993      -71.4059982      0.877037525     l, k, lat, lon, s
          42          44  -31.4480000      -71.9339981      0.608105302     l, k, lat, lon, s
          56          69  -31.1739998      -72.4260025      0.571970642     l, k, lat, lon, s
          75          54  -30.8449993      -72.1019974      0.579769850     l, k, lat, lon, s
          82          14  -30.7520008      -71.2890015      0.834688604     l, k, lat, lon, s
          84          63  -30.6749992      -72.2740021      0.507228434     l, k, lat, lon, s
          85          67  -30.6529999      -72.3529968      0.513215899     l, k, lat, lon, s
          90          53  -30.5760002      -72.0660019      0.399418145     l, k, lat, lon, s
          92          37  -30.5529995      -71.7419968      0.638440967     l, k, lat, lon, s
          98          64  -30.4220009      -72.2789993      0.595958769     l, k, lat, lon, s
         104          23  -30.3479996      -71.4499969      0.801245213     l, k, lat, lon, s
         110          46  -30.2220001      -71.9049988      0.526193380     l, k, lat, lon, s
         111           6  -30.2350006      -71.1019974      0.918636501     l, k, lat, lon, s
         113          49  -30.1650009      -71.9619980      0.550179124     l, k, lat, lon, s
         114          51  -30.1450005      -72.0009995      0.550739408     l, k, lat, lon, s
         117           1  -30.1299992      -70.9970016      0.910793185     l, k, lat, lon, s
         120          15  -30.0660000      -71.2750015      0.896744728     l, k, lat, lon, s
