           7           7  -32.1080017      -71.2139969       1.00000000     l, k, lat, lon, s
          10          30  -32.0369987      -71.6809998      0.685874045     l, k, lat, lon, s
          12          49  -31.9850006      -72.0670013      0.518194616     l, k, lat, lon, s
          36          16  -31.5790005      -71.3710022      0.807758152     l, k, lat, lon, s
          37          12  -31.5639992      -71.2890015      0.869212985     l, k, lat, lon, s
          38          26  -31.5349998      -71.5719986      0.542554379     l, k, lat, lon, s
          38          27  -31.5349998      -71.5930023      0.521414816     l, k, lat, lon, s
          48           6  -31.3700008      -71.1569977      0.973993838     l, k, lat, lon, s
          54          59  -31.2189999      -72.2259979      0.566742778     l, k, lat, lon, s
          62          34  -31.0960007      -71.7109985      0.713971257     l, k, lat, lon, s
          64          58  -31.0400009      -72.1949997      0.727230906     l, k, lat, lon, s
          72          53  -30.8999996      -72.0849991      0.651752770     l, k, lat, lon, s
          83          70  -30.6870003      -72.4160004      0.422415823     l, k, lat, lon, s
          84          55  -30.6819992      -72.1129990      0.502291501     l, k, lat, lon, s
          88          38  -30.6250000      -71.7659988      0.844205081     l, k, lat, lon, s
          89          34  -30.6100006      -71.6849976      0.898489654     l, k, lat, lon, s
          91          45  -30.5650005      -71.9039993      0.579479277     l, k, lat, lon, s
          92          34  -30.5559998      -71.6819992      0.881101251     l, k, lat, lon, s
          95          24  -30.5100002      -71.4779968      0.754701614     l, k, lat, lon, s
         118          12  -30.1040001      -71.2170029      0.904053032     l, k, lat, lon, s
