           3          69  -32.1290016      -72.4860001      0.462677777     l, k, lat, lon, s
          10          14  -32.0489998      -71.3539963      0.747013509     l, k, lat, lon, s
          16          70  -31.8939991      -72.4909973      0.509076655     l, k, lat, lon, s
          25          35  -31.7619991      -71.7679977      0.813162506     l, k, lat, lon, s
          30          13  -31.6900005      -71.3160019      0.933544755     l, k, lat, lon, s
          32          25  -31.6439991      -71.5579987       1.00000000     l, k, lat, lon, s
          35          23  -31.5919991      -71.5139999      0.966752768     l, k, lat, lon, s
          35          54  -31.5660000      -72.1449966      0.661252975     l, k, lat, lon, s
          35          68  -31.5529995      -72.4290009      0.500646532     l, k, lat, lon, s
          41          70  -31.4430008      -72.4629974      0.448698133     l, k, lat, lon, s
          60          21  -31.1429996      -71.4499969      0.940484405     l, k, lat, lon, s
          76          54  -30.8269997      -72.1009979      0.676507175     l, k, lat, lon, s
          86          56  -30.6450005      -72.1309967      0.581636369     l, k, lat, lon, s
          86          56  -30.6450005      -72.1309967      0.581636369     l, k, lat, lon, s
          90          44  -30.5839996      -71.8850021      0.717415273     l, k, lat, lon, s
         100          68  -30.3820000      -72.3570023      0.541995466     l, k, lat, lon, s
         102          23  -30.3840008      -71.4520035      0.925310493     l, k, lat, lon, s
         106          45  -30.2940006      -71.8889999      0.711771905     l, k, lat, lon, s
         112          14  -30.2110004      -71.2620010      0.895248473     l, k, lat, lon, s
         119          14  -30.0849991      -71.2559967      0.873419404     l, k, lat, lon, s
