           7          14  -32.1030006      -71.3570023      0.298954844     l, k, lat, lon, s
          27          31  -31.7299995      -71.6849976      0.248381704     l, k, lat, lon, s
          30          26  -31.6800003      -71.5800018      0.278069675     l, k, lat, lon, s
          38          26  -31.5349998      -71.5719986      0.314947039     l, k, lat, lon, s
          39           3  -31.5349998      -71.1039963      0.331041127     l, k, lat, lon, s
          47           3  -31.3910007      -71.0970001      0.381903708     l, k, lat, lon, s
          50          28  -31.3180008      -71.6019974      0.341264158     l, k, lat, lon, s
          52           1  -31.3020000      -71.0520020      0.319874734     l, k, lat, lon, s
          52          22  -31.2859993      -71.4779968      0.399572849     l, k, lat, lon, s
          53          19  -31.2709999      -71.4160004      0.421363384     l, k, lat, lon, s
          68          23  -30.9969997      -71.4830017      0.408106476     l, k, lat, lon, s
          89          25  -30.6170006      -71.5039978      0.424699455     l, k, lat, lon, s
          89          53  -30.5939999      -72.0670013      0.967938721     l, k, lat, lon, s
          91          20  -30.5849991      -71.4010010      0.358844161     l, k, lat, lon, s
          97          52  -30.4510002      -72.0390015      0.815073788     l, k, lat, lon, s
          99          31  -30.4319992      -71.6149979      0.243700936     l, k, lat, lon, s
         102          32  -30.3770008      -71.6320038      0.419756800     l, k, lat, lon, s
         105          64  -30.2959995      -72.2710037      0.898049831     l, k, lat, lon, s
         106          56  -30.2849998      -72.1100006       1.00000000     l, k, lat, lon, s
         107          25  -30.2929993      -71.4869995      0.396657974     l, k, lat, lon, s
