          27           2  -31.7520008      -71.0940018      0.227202892     l, k, lat, lon, s
          32          27  -31.6429996      -71.5989990      0.206401020     l, k, lat, lon, s
          44          55  -31.4029999      -72.1549988      0.850479543     l, k, lat, lon, s
          50          47  -31.3020000      -71.9869995      0.833068252     l, k, lat, lon, s
          56          69  -31.1739998      -72.4260025      0.917799890     l, k, lat, lon, s
          57           6  -31.2080002      -71.1490021      0.245629594     l, k, lat, lon, s
          58          31  -31.1709995      -71.6549988      0.256716311     l, k, lat, lon, s
          64          42  -31.0540009      -71.8710022      0.834744990     l, k, lat, lon, s
          81          49  -30.7420006      -71.9950027      0.868184924     l, k, lat, lon, s
          84          63  -30.6749992      -72.2740021      0.665022731     l, k, lat, lon, s
          85          67  -30.6529999      -72.3529968      0.801719487     l, k, lat, lon, s
          89           4  -30.6329994      -71.0810013      0.271212697     l, k, lat, lon, s
          89          58  -30.5890007      -72.1679993      0.716887057     l, k, lat, lon, s
          91          39  -30.5699997      -71.7839966      0.968905926     l, k, lat, lon, s
          92          37  -30.5529995      -71.7419968       1.00000000     l, k, lat, lon, s
          98          64  -30.4220009      -72.2789993      0.784109473     l, k, lat, lon, s
         102          13  -30.3920002      -71.2509995      0.214915082     l, k, lat, lon, s
         104          23  -30.3479996      -71.4499969      0.288256168     l, k, lat, lon, s
         110          46  -30.2220001      -71.9049988      0.813925147     l, k, lat, lon, s
         114          51  -30.1450005      -72.0009995      0.894364059     l, k, lat, lon, s
