           3           4  -32.1829987      -71.1559982      0.183464289     l, k, lat, lon, s
           8          56  -32.0499992      -72.2139969      0.887226820     l, k, lat, lon, s
          10          15  -32.0480003      -71.3750000      0.330564439     l, k, lat, lon, s
          13          47  -31.9680004      -72.0250015      0.858854711     l, k, lat, lon, s
          18          38  -31.8859997      -71.8369980      0.948437691     l, k, lat, lon, s
          32          46  -31.6270008      -71.9850006      0.857228637     l, k, lat, lon, s
          37          53  -31.5310001      -72.1220016      0.686782479     l, k, lat, lon, s
          46          14  -31.3999996      -71.3209991      0.270135939     l, k, lat, lon, s
          59          31  -31.1529999      -71.6539993      0.247976765     l, k, lat, lon, s
          61          38  -31.1110001      -71.7929993      0.812166095     l, k, lat, lon, s
          63          51  -31.0639992      -72.0540009      0.671293855     l, k, lat, lon, s
          67          41  -31.0009995      -71.8479996       1.00000000     l, k, lat, lon, s
          68          14  -31.0039997      -71.3010025      0.342421323     l, k, lat, lon, s
          71          57  -30.9150009      -72.1669998      0.738347769     l, k, lat, lon, s
          73          47  -30.8869991      -71.9629974      0.699161172     l, k, lat, lon, s
          81          66  -30.7259998      -72.3369980      0.584970236     l, k, lat, lon, s
          81          68  -30.7250004      -72.3779984      0.444070011     l, k, lat, lon, s
          96          51  -30.4699993      -72.0199966      0.797167599     l, k, lat, lon, s
          99          65  -30.4029999      -72.2979965      0.791521132     l, k, lat, lon, s
         107          13  -30.3020000      -71.2460022      0.256302565     l, k, lat, lon, s
