           4          67  -32.1119995      -72.4440002       1.00000000     l, k, lat, lon, s
          14          32  -31.9629993      -71.7180023      0.359707206     l, k, lat, lon, s
          17          17  -31.9209995      -71.4089966      0.307696551     l, k, lat, lon, s
          19          34  -31.8710003      -71.7539978      0.852534413     l, k, lat, lon, s
          20          14  -31.8689995      -71.3450012      0.257347107     l, k, lat, lon, s
          20          44  -31.8449993      -71.9570007      0.933968484     l, k, lat, lon, s
          33          12  -31.6359997      -71.2919998      0.245686114     l, k, lat, lon, s
          35          34  -31.5830002      -71.7379990      0.964389026     l, k, lat, lon, s
          38          54  -31.5119991      -72.1409988      0.809386551     l, k, lat, lon, s
          41          41  -31.4689999      -71.8740005      0.778060317     l, k, lat, lon, s
          50          42  -31.3059998      -71.8850021      0.984086215     l, k, lat, lon, s
          66           3  -31.0480003      -71.0810013      0.221002609     l, k, lat, lon, s
          67           8  -31.0259991      -71.1809998      0.241324753     l, k, lat, lon, s
          70          64  -30.9260006      -72.3089981      0.904549003     l, k, lat, lon, s
          75          42  -30.8560009      -71.8600006      0.903505981     l, k, lat, lon, s
          98           5  -30.4699993      -71.0940018      0.331276447     l, k, lat, lon, s
         100          59  -30.3899994      -72.1760025      0.979711294     l, k, lat, lon, s
         109          45  -30.2399998      -71.8860016      0.961461484     l, k, lat, lon, s
         113          12  -30.1940002      -71.2210007      0.168099463     l, k, lat, lon, s
         114          11  -30.1770000      -71.1999969      0.165329829     l, k, lat, lon, s
